Movie_Name,Date,Weekly_Gross,Percentage_Change,Avg,Gross_to_Date,Week_Number
Ted,29-Jun,87647345.00,-,27060.00,87647345.00,1.00
Ted,6-Jul,49199050.00,-0.44,15110.00,136846395.00,2.00
Ted,13-Jul,33573420.00,-0.32,10165.00,170419815.00,3.00
Ted,20-Jul,15845785.00,-0.53,4930.00,186265600.00,4.00
Ted,27-Jul,11669635.00,-0.26,3730.00,197935235.00,5.00
Ted,3-Aug,8689675.00,-0.26,3362.00,206624910.00,6.00
Ted,10-Aug,4896395.00,-0.44,2520.00,211521305.00,7.00
Ted,17-Aug,2294070.00,-0.53,2254.00,213815375.00,8.00
Ted,24-Aug,1349530.00,-0.41,1988.00,215164905.00,9.00
Ted,31-Aug,1144425.00,-0.15,2040.00,216309330.00,10.00
Ted,7-Sep,744430.00,-0.35,1445.00,217053760.00,11.00
Ted,14-Sep,540485.00,-0.27,1315.00,217594245.00,12.00
Ted,21-Sep,348820.00,-0.36,1191.00,217943065.00,13.00
Ted,28-Sep,254235.00,-0.27,1130.00,218197300.00,14.00
Ted,5-Oct,218845.00,-0.14,1170.00,218416145.00,15.00
Ted,12-Oct,142790.00,-0.35,985.00,218558935.00,16.00
Ted,19-Oct,106805.00,-0.25,980.00,218665740.00,17.00
RED,15-Oct,28483269.00,-,8751.00,28483269.00,1.00
RED,22-Oct,19610525.00,-0.31,5992.00,48093794.00,2.00
RED,29-Oct,14919082.00,-0.24,4455.00,63012876.00,3.00
RED,5-Nov,11690981.00,-0.22,3621.00,74703857.00,4.00
RED,12-Nov,6403065.00,-0.45,2225.00,81106922.00,5.00
RED,19-Nov,3634805.00,-0.43,3977.00,84741727.00,6.00
RED,26-Nov,1678245.00,-0.54,1836.00,86419972.00,7.00
RED,3-Dec,1045706.00,-0.38,1342.00,87465678.00,8.00
RED,10-Dec,627743.00,-0.40,1113.00,88093421.00,9.00
RED,17-Dec,600299.00,-0.04,1367.00,88693720.00,10.00
RED,24-Dec,521747.00,-0.13,1581.00,89215467.00,11.00
RED,31-Dec,427478.00,-0.18,1411.00,89642945.00,12.00
RED,7-Jan,282379.00,-0.34,1082.00,89925324.00,13.00
RED,14-Jan,209593.00,-0.26,1017.00,90134917.00,14.00
RED,21-Jan,143427.00,-0.32,937.00,90278344.00,15.00
RED,28-Jan,101818.00,-0.29,856.00,90380162.00,16.00
Australia,21-Nov,5203733.00,-,1988.00,5203733.00,0.00
Australia,28-Nov,18665103.00,2.59,7065.00,23868836.00,1.00
Australia,5-Dec,9729140.00,-0.48,3576.00,33597976.00,2.00
Australia,12-Dec,6024361.00,-0.38,2229.00,39622337.00,3.00
Australia,19-Dec,3582003.00,-0.41,5038.00,43204340.00,4.00
Australia,26-Dec,2319204.00,-0.35,3262.00,45523544.00,5.00
Australia,2-Jan,1623348.00,-0.30,2122.00,47146892.00,6.00
Australia,9-Jan,891036.00,-0.45,1641.00,48037928.00,7.00
Australia,16-Jan,438518.00,-0.51,1528.00,48476446.00,8.00
Australia,23-Jan,306303.00,-0.30,1271.00,48782749.00,9.00
Australia,30-Jan,271749.00,-0.11,915.00,49054498.00,10.00
Australia,6-Feb,177021.00,-0.35,995.00,49231519.00,11.00
Australia,13-Feb,132480.00,-0.25,1204.00,49363999.00,12.00
Australia,20-Feb,85011.00,-0.36,914.00,49449010.00,13.00
Australia,27-Feb,52461.00,-0.38,820.00,49501471.00,14.00
Australia,6-Mar,32953.00,-0.37,969.00,49534424.00,15.00
Australia,13-Mar,13650.00,-0.59,758.00,49548074.00,16.00
Australia,20-Mar,5928.00,-0.57,539.00,49554002.00,17.00
Faster,19-Nov,3479687.00,-,1418.00,3479687.00,0.00
Faster,26-Nov,10803443.00,2.11,4402.00,14283130.00,1.00
Faster,3-Dec,5321991.00,-0.51,2155.00,19605121.00,2.00
Faster,10-Dec,2461427.00,-0.54,1169.00,22066548.00,3.00
Faster,17-Dec,600238.00,-0.76,3594.00,22666786.00,4.00
Faster,24-Dec,122624.00,-0.80,997.00,22789410.00,5.00
Faster,31-Dec,100191.00,-0.18,842.00,22889601.00,6.00
Faster,7-Jan,70544.00,-0.30,893.00,22960145.00,7.00
Faster,14-Jan,60024.00,-0.15,780.00,23020169.00,8.00
Faster,21-Jan,84133.00,0.40,794.00,23104302.00,9.00
Faster,28-Jan,87960.00,0.05,772.00,23192262.00,10.00
Faster,4-Feb,47758.00,-0.46,549.00,23240020.00,11.00
The Adjustment Bureau,4-Mar,26992260.00,-,9504.00,26992260.00,1.00
The Adjustment Bureau,11-Mar,15854780.00,-0.41,5569.00,42847040.00,2.00
The Adjustment Bureau,18-Mar,7779030.00,-0.51,2924.00,50626070.00,3.00
