Movie_Name,Date,Weekly_Gross,Percentage_Change,Avg,Gross_to_Date,Week_Number
Guardians of the Galaxy,1-Aug,134390839,-,32939,134390839,1
Guardians of the Galaxy,8-Aug,63154982,-0.53,15449,197545821,2
Guardians of the Galaxy,15-Aug,36708036,-0.42,9929,234253857,3
Guardians of the Galaxy,22-Aug,24043411,-0.35,7132,258297268,4
Guardians of the Galaxy,29-Aug,26110586,0.09,7542,284407854,5
Guardians of the Galaxy,5-Sep,13476978,-0.48,4184,297884832,6
Guardians of the Galaxy,12-Sep,10604199,-0.21,3416,308489031,7
Guardians of the Galaxy,19-Sep,6914244,-0.35,2429,315403275,8
Guardians of the Galaxy,26-Sep,4923129,-0.29,2009,320326404,9
Guardians of the Galaxy,3-Oct,3943500,-0.2,2082,324269904,10
Guardians of the Galaxy,10-Oct,2562827,-0.35,1985,326832731,11
Guardians of the Galaxy,17-Oct,1262858,-0.51,1730,328095589,12
Guardians of the Galaxy,24-Oct,730948,-0.42,1818,328826537,13
Guardians of the Galaxy,31-Oct,762562,0.04,2283,329589099,14
Guardians of the Galaxy,7-Nov,605255,-0.21,2045,330194354,15
Guardians of the Galaxy,14-Nov,376429,-0.38,1616,330570783,16
Guardians of the Galaxy,21-Nov,822661,1.19,2539,331393444,17
Guardians of the Galaxy,28-Nov,565940,-0.31,1986,331959384,18
Guardians of the Galaxy,5-Dec,349892,-0.38,1268,332309276,19
Guardians of the Galaxy,12-Dec,243069,-0.31,992,332552345,20
Guardians of the Galaxy,19-Dec,196899,-0.19,956,332749244,21
Guardians of the Galaxy,26-Dec,216281,0.1,1272,332965525,22
Guardians of the Galaxy,2-Jan,114446,-0.47,743,333079971,23
Guardians of the Galaxy,9-Jan,65183,-0.43,521,333145154,24
Guardians of the Galaxy,16-Jan,31446,-0.52,484,333176600,25
Prometheus,8-Jun,68658127,-,20217,68658127,1
Prometheus,15-Jun,29888553,-0.57,8683,98546680,2
Prometheus,22-Jun,14790168,-0.51,5168,113336848,3
Prometheus,29-Jun,7237926,-0.51,5781,120574774,4
Prometheus,6-Jul,2753987,-0.62,2492,123328761,5
Prometheus,13-Jul,1474333,-0.47,2637,124803094,6
Prometheus,20-Jul,514825,-0.65,1650,125317919,7
Prometheus,27-Jul,341199,-0.34,1490,125659118,8
Prometheus,3-Aug,278143,-0.19,1405,125937261,9
Prometheus,10-Aug,182068,-0.35,1291,126119329,10
Prometheus,17-Aug,120466,-0.34,1193,126239795,11
Prometheus,24-Aug,90718,-0.25,997,126330513,12
Prometheus,31-Aug,70170,-0.23,1276,126400683,13
Prometheus,7-Sep,43033,-0.39,897,126443716,14
Prometheus,14-Sep,33368,-0.23,981,126477084,15
Split,20-Jan,51730090,-,17028,51730090,1
Split,27-Jan,32386375,-0.37,10124,84116465,2
Split,3-Feb,18855805,-0.42,5590,102972270,3
Split,10-Feb,13593260,-0.28,4591,116565530,4
Split,17-Feb,10159365,-0.25,4155,126724895,5
Split,24-Feb,5228005,-0.49,2750,131952900,6
Split,3-Mar,2659235,-0.49,2362,134612135,7
Split,10-Mar,1747090,-0.34,1781,136359225,8
Split,17-Mar,706565,-0.6,1170,137065790,9
Split,24-Mar,259685,-0.63,991,137325475,10
Split,31-Mar,123795,-0.52,878,137449270,11
Split,7-Apr,97140,-0.22,803,137546410,12
Split,14-Apr,306970,2.16,2398,137853380,13
Split,21-Apr,162785,-0.47,1368,138016165,14
Split,28-Apr,125420,-0.23,1218,138141585,15
Split,5-May,149780,0.19,-,138291365,16
Sing,16-Dec,20612640,-,5125,20612640,0
Sing,23-Dec,102988850,4,25606,123601490,1
Sing,30-Dec,70198155,-0.32,17423,193799645,2
Sing,6-Jan,25415875,-0.64,6426,219215520,3
Sing,13-Jan,21109675,-0.17,5716,240325195,4
Sing,20-Jan,10866180,-0.49,3403,251191375,5
Sing,27-Jan,7635105,-0.3,2826,258826480,6
Sing,3-Feb,4878515,-0.36,2128,263704995,7
Sing,10-Feb,2226110,-0.54,1505,265931105,8
Sing,17-Feb,1241885,-0.44,2214,267172990,9
Sing,24-Feb,611350,-0.51,1564,267784340,10
Sing,3-Mar,517360,-0.15,1828,268301700,11
Sing,10-Mar,736650,0.42,1842,269038350,12
Sing,17-Mar,439960,-0.4,1583,269478310,13
Sing,24-Mar,310885,-0.29,1364,269789195,14
Sing,31-Mar,228815,-0.26,1133,270018010,15
Sing,7-Apr,149320,-0.35,834,270167330,16
Sing,14-Apr,84990,-0.43,644,270252320,17
Sing,21-Apr,38400,-0.55,431,270290720,18
Sing,28-Apr,38325,0,204,270329045,19
Sing,5-May,66380,0.73,-,270395425,20
Suicide Squad,5-Aug,179104728,-,42093,179104728,1
Suicide Squad,12-Aug,62468607,-0.65,14681,241573335,2
Suicide Squad,19-Aug,29199292,-0.53,7441,270772627,3
Suicide Squad,26-Aug,16644689,-0.43,5056,287417316,4
Suicide Squad,2-Sep,14340537,-0.14,4356,301757853,5
Suicide Squad,9-Sep,7314479,-0.49,2357,309072332,6
Suicide Squad,16-Sep,5951011,-0.19,2172,315023343,7
Suicide Squad,23-Sep,3917286,-0.34,1804,318940629,8
Suicide Squad,30-Sep,2483295,-0.37,1516,321423924,9
Suicide Squad,7-Oct,1536755,-0.38,1581,322960679,10
Suicide Squad,14-Oct,925284,-0.4,1469,323885963,11
Suicide Squad,21-Oct,504589,-0.46,1317,324390552,12
Suicide Squad,28-Oct,384864,-0.24,1159,324775416,13
Suicide Squad,4-Nov,324638,-0.16,1325,325100054,14
The Great Wall,17-Feb,25705640,-,7731,25705640,1
The Great Wall,24-Feb,12055665,-0.53,3622,37761305,2
The Great Wall,3-Mar,4809780,-0.6,2079,42571085,3
The Great Wall,10-Mar,1886555,-0.61,1185,44457640,4
The Great Wall,17-Mar,456640,-0.76,1040,44914280,5
The Great Wall,24-Mar,144335,-0.68,914,45058615,6
The Great Wall,31-Mar,98490,-0.32,947,45157105,7
The Great Wall,7-Apr,71805,-0.27,865,45228910,8
The Great Wall,14-Apr,73205,0.02,1181,45302115,9
The Great Wall,21-Apr,59695,-0.19,1047,45361810,10
The Great Wall,28-Apr,52475,-0.12,750,45414285,11
The Great Wall,5-May,55830,0.06,809,45470115,12
The Great Wall,12-May,42590,-0.24,819,45512705,13
The Great Wall,19-May,19240,-0.55,713,45531945,14
The Great Wall,26-May,8885,-0.54,592,45540830,15
La La Land,9-Dec,1240166,-,248033,1240166,1
