Movie_Name,Date,Weekly_Gross,Percentage_Change,Avg,Gross_to_Date,Week_Number
Despicable Me,9-Jul,85630895.00,-,24635.00,85630895.00,1.00
Despicable Me,16-Jul,51969950.00,-0.39,14844.00,137600845.00,2.00
Despicable Me,23-Jul,37205350.00,-0.28,10335.00,174806195.00,3.00
Despicable Me,30-Jul,25197790.00,-0.32,6995.00,200003985.00,4.00
Despicable Me,6-Aug,15222050.00,-0.40,4460.00,215226035.00,5.00
Despicable Me,13-Aug,11168890.00,-0.27,4121.00,226394925.00,6.00
Despicable Me,20-Aug,7021480.00,-0.37,3140.00,233416405.00,7.00
Despicable Me,27-Aug,4034545.00,-0.43,2386.00,237450950.00,8.00
Despicable Me,3-Sep,4423920.00,0.10,2765.00,241874870.00,9.00
Despicable Me,10-Sep,1953180.00,-0.56,1420.00,243828050.00,10.00
Despicable Me,17-Sep,1104030.00,-0.44,1170.00,244932080.00,11.00
Despicable Me,24-Sep,719840.00,-0.35,1180.00,245651920.00,12.00
Despicable Me,1-Oct,557830.00,-0.23,1205.00,246209750.00,13.00
Despicable Me,8-Oct,495965.00,-0.11,1405.00,246705715.00,14.00
Despicable Me,15-Oct,443280.00,-0.11,1335.00,247148995.00,15.00
Despicable Me,22-Oct,460100.00,0.04,1420.00,247609095.00,16.00
Despicable Me,29-Oct,374915.00,-0.19,1119.00,247984010.00,17.00
Despicable Me,5-Nov,468310.00,0.25,1525.00,248452320.00,18.00
Despicable Me,12-Nov,447720.00,-0.04,1640.00,248900040.00,19.00
Despicable Me,19-Nov,461520.00,0.03,1735.00,249361560.00,20.00
Despicable Me,26-Nov,425505.00,-0.08,1600.00,249787065.00,21.00
Despicable Me,3-Dec,273900.00,-0.36,978.00,250060965.00,22.00
Despicable Me,10-Dec,261350.00,-0.05,1025.00,250322315.00,23.00
Despicable Me,17-Dec,367045.00,0.40,1902.00,250689360.00,24.00
Despicable Me,24-Dec,343445.00,-0.06,1780.00,251032805.00,25.00
Despicable Me,31-Dec,233460.00,-0.32,1185.00,251266265.00,26.00
Despicable Me,7-Jan,147710.00,-0.37,830.00,251413975.00,27.00
Despicable Me,14-Jan,100010.00,-0.32,730.00,251513985.00,28.00
Bronson,9-Oct,17419.00,-,17419.00,17419.00,1.00
Bronson,16-Oct,17745.00,0.02,8873.00,35164.00,2.00
Bronson,23-Oct,18802.00,0.06,4701.00,53966.00,3.00
Bronson,30-Oct,20458.00,0.09,2557.00,74424.00,4.00
Bronson,6-Nov,6503.00,-0.68,2168.00,80927.00,5.00
Bronson,13-Nov,5223.00,-0.20,1306.00,86150.00,6.00
Bronson,20-Nov,6204.00,0.19,1551.00,92354.00,7.00
Bronson,27-Nov,4255.00,-0.31,1064.00,96609.00,8.00
Bronson,4-Dec,4336.00,0.02,1084.00,100945.00,9.00
Bronson,11-Dec,1847.00,-0.57,616.00,102792.00,10.00
Bronson,18-Dec,1662.00,-0.10,416.00,104454.00,11.00
