Movie_Name,Date,Weekly_Gross,Percentage_Change,Avg,Gross_to_Date,Week_Number
Idiocracy,1-Sep,234596.00,-,1805.00,234596.00,1.00
Idiocracy,8-Sep,116731.00,-0.50,1042.00,351327.00,2.00
Idiocracy,15-Sep,45923.00,-0.61,3533.00,397250.00,3.00
Idiocracy,22-Sep,26232.00,-0.43,2623.00,423482.00,4.00
Idiocracy,29-Sep,20611.00,-0.21,3435.00,444093.00,5.00
The Expendables,13-Aug,48389085.00,-,14798.00,48389085.00,1.00
The Expendables,20-Aug,24123161.00,-0.50,7377.00,72512246.00,2.00
The Expendables,27-Aug,13055524.00,-0.46,3842.00,85567770.00,3.00
The Expendables,3-Sep,9674843.00,-0.26,2847.00,95242613.00,4.00
The Expendables,10-Sep,4404622.00,-0.55,1440.00,99647235.00,5.00
The Expendables,17-Sep,1858731.00,-0.58,1003.00,101505966.00,6.00
The Expendables,24-Sep,779092.00,-0.58,914.00,102285058.00,7.00
The Expendables,1-Oct,325543.00,-0.58,794.00,102610601.00,8.00
The Expendables,8-Oct,180594.00,-0.45,803.00,102791195.00,9.00
The Expendables,15-Oct,277329.00,0.54,906.00,103068524.00,10.00
Evil Dead,5-Apr,32041782.00,-,10592.00,32041782.00,1.00
Evil Dead,12-Apr,12303168.00,-0.62,4067.00,44344950.00,2.00
Evil Dead,19-Apr,5522808.00,-0.55,1956.00,49867758.00,3.00
Evil Dead,26-Apr,2717731.00,-0.51,1243.00,52585489.00,4.00
Evil Dead,3-May,880019.00,-0.68,918.00,53465508.00,5.00
Evil Dead,10-May,412450.00,-0.53,931.00,53877958.00,6.00
Evil Dead,17-May,212316.00,-0.49,1021.00,54090364.00,7.00
Evil Dead,24-May,34170.00,-0.84,589.00,54124444.00,8.00
Evil Dead,31-May,20709.00,-0.39,518.00,54145153.00,9.00
Sinister,12-Oct,22920168.00,-,9070.00,22920168.00,1.00
Sinister,19-Oct,11524787.00,-0.50,4534.00,34444955.00,2.00
Sinister,26-Oct,7097419.00,-0.38,3024.00,41542374.00,3.00
Sinister,2-Nov,3511864.00,-0.51,1866.00,45054238.00,4.00
Sinister,9-Nov,1941012.00,-0.45,1249.00,46995250.00,5.00
Sinister,16-Nov,618832.00,-0.68,4873.00,47614082.00,6.00
Sinister,23-Nov,115245.00,-0.81,907.00,47729327.00,7.00
Sinister,30-Nov,57963.00,-0.50,659.00,47787290.00,8.00
Sinister,7-Dec,52776.00,-0.09,685.00,47840066.00,9.00
Sinister,14-Dec,119783.00,1.27,651.00,47959849.00,10.00
Sinister,21-Dec,56935.00,-0.53,694.00,48016784.00,11.00
Sinister,28-Dec,70119.00,0.23,855.00,48086903.00,12.00
Wreck-It Ralph,2-Nov,60634609.00,-,16161.00,60634609.00,1.00
Wreck-It Ralph,9-Nov,42532681.00,-0.30,11336.00,103167290.00,2.00
Wreck-It Ralph,16-Nov,29538740.00,-0.31,9064.00,132706030.00,3.00
Wreck-It Ralph,23-Nov,18530233.00,-0.37,5686.00,151236263.00,4.00
Wreck-It Ralph,30-Nov,8307303.00,-0.55,2691.00,159543566.00,5.00
Wreck-It Ralph,7-Dec,5961983.00,-0.28,2171.00,165505549.00,6.00
Wreck-It Ralph,14-Dec,4416976.00,-0.26,2371.00,169922525.00,7.00
Wreck-It Ralph,21-Dec,3727594.00,-0.16,4083.00,173650119.00,8.00
Wreck-It Ralph,28-Dec,3669797.00,-0.02,4019.00,177319916.00,9.00
Wreck-It Ralph,4-Jan,1401857.00,-0.62,1977.00,178721773.00,10.00
Wreck-It Ralph,11-Jan,785531.00,-0.44,1650.00,179507304.00,11.00
Wreck-It Ralph,18-Jan,2245457.00,1.86,1711.00,181752761.00,12.00
Wreck-It Ralph,25-Jan,876881.00,-0.61,1491.00,182629642.00,13.00
Wreck-It Ralph,1-Feb,719073.00,-0.18,1090.00,183348715.00,14.00
Wreck-It Ralph,8-Feb,1385144.00,0.93,2305.00,184733859.00,15.00
Wreck-It Ralph,15-Feb,1296682.00,-0.06,2563.00,186030541.00,16.00
Wreck-It Ralph,22-Feb,786165.00,-0.39,1956.00,186816706.00,17.00
Wreck-It Ralph,1-Mar,686085.00,-0.13,1949.00,187502791.00,18.00
Wreck-It Ralph,8-Mar,627878.00,-0.09,2000.00,188130669.00,19.00
Wreck-It Ralph,15-Mar,414637.00,-0.34,1497.00,188545306.00,20.00
Wreck-It Ralph,22-Mar,317904.00,-0.23,1336.00,188863210.00,21.00
Wreck-It Ralph,29-Mar,222175.00,-0.30,1073.00,189085385.00,22.00
Wreck-It Ralph,5-Apr,124529.00,-0.44,798.00,189209914.00,23.00
Wreck-It Ralph,12-Apr,96612.00,-0.22,721.00,189306526.00,24.00
Wreck-It Ralph,19-Apr,70304.00,-0.27,617.00,189376830.00,25.00
Wreck-It Ralph,26-Apr,46059.00,-0.35,576.00,189422889.00,26.00
Snow White and the Huntsman,1-Jun,75478685.00,-,20005.00,75478685.00,1.00
Snow White and the Huntsman,8-Jun,33318350.00,-0.56,8821.00,108797035.00,2.00
Snow White and the Huntsman,15-Jun,20245685.00,-0.39,5470.00,129042720.00,3.00
Snow White and the Huntsman,22-Jun,12143200.00,-0.40,4160.00,141185920.00,4.00
Snow White and the Huntsman,29-Jun,6802290.00,-0.44,4145.00,147988210.00,5.00
Snow White and the Huntsman,6-Jul,2620320.00,-0.62,2275.00,150608530.00,6.00
Snow White and the Huntsman,13-Jul,1553380.00,-0.41,2295.00,152161910.00,7.00
Snow White and the Huntsman,20-Jul,705325.00,-0.55,1725.00,152867235.00,8.00
Snow White and the Huntsman,27-Jul,646010.00,-0.08,1820.00,153513245.00,9.00
Snow White and the Huntsman,3-Aug,511465.00,-0.21,1655.00,154024710.00,10.00
Snow White and the Huntsman,10-Aug,427335.00,-0.16,1565.00,154452045.00,11.00
