Genre,Year,Month,Movies
Genre_ Drama,2010,12,0
Genre_ Drama,2011,1,0
Genre_ Drama,2011,2,0
Genre_ Drama,2011,3,0
Genre_ Drama,2011,4,0
Genre_ Drama,2011,5,0
Genre_ Drama,2011,6,0
Genre_ Drama,2011,7,0
Genre_ Drama,2011,8,0
Genre_ Drama,2011,9,0
Genre_ Drama,2011,10,0
Genre_ Drama,2011,11,0
Genre_ Drama,2011,12,0
Genre_ Drama,2012,1,0
Genre_ Drama,2012,2,0
Genre_ Drama,2012,3,0
Genre_ Drama,2012,4,0
Genre_ Drama,2012,5,0
Genre_ Drama,2012,6,0
Genre_ Drama,2012,7,0
Genre_ Drama,2012,8,0
Genre_ Drama,2012,9,0
Genre_ Drama,2012,10,0
Genre_ Drama,2012,11,0
Genre_ Drama,2012,12,0
Genre_ Drama,2013,1,0
Genre_ Drama,2013,2,0
Genre_ Drama,2013,3,0
Genre_ Drama,2013,4,0
Genre_ Drama,2013,5,0
Genre_ Drama,2013,6,0
Genre_ Drama,2013,7,0
Genre_ Drama,2013,8,0
Genre_ Drama,2013,9,0
Genre_ Drama,2013,10,0
Genre_ Drama,2013,11,0
Genre_ Drama,2013,12,0
Genre_ Drama,2014,1,0
Genre_ Drama,2014,2,0
Genre_ Drama,2014,3,0
Genre_ Drama,2014,4,0
Genre_ Drama,2014,5,0
Genre_ Drama,2014,6,0
Genre_ Drama,2014,7,0
Genre_ Drama,2014,8,0
Genre_ Drama,2014,9,0
Genre_ Drama,2014,10,0
Genre_ Drama,2014,11,0
Genre_ Drama,2014,12,0
Genre_ Drama,2015,1,0
Genre_ Drama,2015,2,0
Genre_ Drama,2015,3,0
Genre_ Drama,2015,4,0
Genre_ Drama,2015,5,0
Genre_ Drama,2015,6,0
Genre_ Drama,2015,7,0
Genre_ Drama,2015,8,0
Genre_ Drama,2015,9,0
Genre_ Drama,2015,10,0
Genre_ Drama,2015,11,0
Genre_ Drama,2015,12,0
Genre_ Drama,2016,1,0
Genre_ Drama,2016,2,0
Genre_ Drama,2016,3,0
Genre_ Drama,2016,4,0
Genre_ Drama,2016,5,0
Genre_ Drama,2016,6,0
Genre_ Drama,2016,7,0
Genre_ Drama,2016,8,0
Genre_ Drama,2016,9,0
Genre_ Drama,2016,10,0
Genre_ Drama,2016,11,0
Genre_ Drama,2016,12,0
Genre_ Drama,2017,1,0
Genre_ Drama,2017,2,0
Genre_ Drama,2017,3,0
Genre_ Drama,2017,4,0
Genre_ Drama,2017,5,0
Genre_ Drama,2017,6,0
Genre_ Drama,2017,7,0
Genre_ Drama,2017,8,0
Genre_ Drama,2017,9,0
Genre_ Drama,2017,10,0
Genre_ Drama,2017,11,0
Genre_ Drama,2017,12,0
Genre_Action,2005,1,0
Genre_Action,2005,2,0
Genre_Action,2005,3,0
Genre_Action,2005,4,0
Genre_Action,2005,5,0
Genre_Action,2005,6,0
Genre_Action,2005,7,0
Genre_Action,2005,8,0
Genre_Action,2005,9,0
Genre_Action,2005,10,0
Genre_Action,2005,11,0
Genre_Action,2005,12,0
Genre_Action,2006,1,3
Genre_Action,2006,2,4
Genre_Action,2006,3,10
Genre_Action,2006,4,15
Genre_Action,2006,5,23
Genre_Action,2006,6,37
Genre_Action,2006,7,27
Genre_Action,2006,8,24
Genre_Action,2006,9,29
Genre_Action,2006,10,25
Genre_Action,2006,11,17
Genre_Action,2006,12,18
Genre_Action,2007,1,17
Genre_Action,2007,2,24
Genre_Action,2007,3,29
Genre_Action,2007,4,25
Genre_Action,2007,5,28
Genre_Action,2007,6,34
Genre_Action,2007,7,23
Genre_Action,2007,8,23
Genre_Action,2007,9,18
Genre_Action,2007,10,16
Genre_Action,2007,11,14
Genre_Action,2007,12,22
Genre_Action,2008,1,27
Genre_Action,2008,2,30
Genre_Action,2008,3,29
Genre_Action,2008,4,34
Genre_Action,2008,5,58
Genre_Action,2008,6,56
Genre_Action,2008,7,54
Genre_Action,2008,8,80
Genre_Action,2008,9,55
Genre_Action,2008,10,40
Genre_Action,2008,11,26
Genre_Action,2008,12,27
Genre_Action,2009,1,21
Genre_Action,2009,2,19
Genre_Action,2009,3,22
Genre_Action,2009,4,25
Genre_Action,2009,5,34
Genre_Action,2009,6,25
Genre_Action,2009,7,31
Genre_Action,2009,8,28
Genre_Action,2009,9,25
Genre_Action,2009,10,20
Genre_Action,2009,11,13
Genre_Action,2009,12,16
Genre_Action,2010,1,22
Genre_Action,2010,2,26
Genre_Action,2010,3,31
Genre_Action,2010,4,51
Genre_Action,2010,5,47
Genre_Action,2010,6,59
Genre_Action,2010,7,79
Genre_Action,2010,8,53
Genre_Action,2010,9,53
Genre_Action,2010,10,49
Genre_Action,2010,11,30
Genre_Action,2010,12,39
Genre_Action,2011,1,33
Genre_Action,2011,2,31
Genre_Action,2011,3,33
Genre_Action,2011,4,44
Genre_Action,2011,5,37
Genre_Action,2011,6,36
Genre_Action,2011,7,49
Genre_Action,2011,8,40
Genre_Action,2011,9,55
Genre_Action,2011,10,34
Genre_Action,2011,11,30
Genre_Action,2011,12,44
Genre_Action,2012,1,37
Genre_Action,2012,2,37
Genre_Action,2012,3,37
Genre_Action,2012,4,33
Genre_Action,2012,5,37
Genre_Action,2012,6,49
Genre_Action,2012,7,35
Genre_Action,2012,8,51
Genre_Action,2012,9,45
Genre_Action,2012,10,37
Genre_Action,2012,11,32
Genre_Action,2012,12,21
Genre_Action,2013,1,18
Genre_Action,2013,2,28
Genre_Action,2013,3,39
Genre_Action,2013,4,40
Genre_Action,2013,5,78
Genre_Action,2013,6,72
Genre_Action,2013,7,72
Genre_Action,2013,8,89
Genre_Action,2013,9,61
Genre_Action,2013,10,44
Genre_Action,2013,11,46
Genre_Action,2013,12,41
Genre_Action,2014,1,66
Genre_Action,2014,2,60
Genre_Action,2014,3,65
Genre_Action,2014,4,63
Genre_Action,2014,5,80
Genre_Action,2014,6,70
Genre_Action,2014,7,70
Genre_Action,2014,8,95
Genre_Action,2014,9,71
Genre_Action,2014,10,79
Genre_Action,2014,11,54
Genre_Action,2014,12,38
Genre_Action,2015,1,45
Genre_Action,2015,2,37
Genre_Action,2015,3,41
Genre_Action,2015,4,52
Genre_Action,2015,5,60
Genre_Action,2015,6,59
Genre_Action,2015,7,86
Genre_Action,2015,8,76
Genre_Action,2015,9,78
Genre_Action,2015,10,75
Genre_Action,2015,11,54
Genre_Action,2015,12,71
Genre_Action,2016,1,97
Genre_Action,2016,2,93
Genre_Action,2016,3,106
Genre_Action,2016,4,119
Genre_Action,2016,5,111
Genre_Action,2016,6,92
Genre_Action,2016,7,110
Genre_Action,2016,8,89
Genre_Action,2016,9,106
Genre_Action,2016,10,69
Genre_Action,2016,11,51
Genre_Action,2016,12,54
Genre_Action,2017,1,23
Genre_Action,2017,2,13
Genre_Action,2017,3,8
Genre_Action,2017,4,4
Genre_Action,2017,5,0
Genre_Action,2017,6,0
Genre_Action,2017,7,0
Genre_Action,2017,8,0
Genre_Action,2017,9,0
Genre_Action,2017,10,0
Genre_Action,2017,11,0
Genre_Action,2017,12,0
Genre_Adventure,2005,1,0
Genre_Adventure,2005,2,0
Genre_Adventure,2005,3,0
Genre_Adventure,2005,4,0
Genre_Adventure,2005,5,0
Genre_Adventure,2005,6,0
Genre_Adventure,2005,7,0
Genre_Adventure,2005,8,0
Genre_Adventure,2005,9,0
Genre_Adventure,2005,10,0
Genre_Adventure,2005,11,0
Genre_Adventure,2005,12,0
Genre_Adventure,2006,1,0
Genre_Adventure,2006,2,1
Genre_Adventure,2006,3,10
Genre_Adventure,2006,4,16
Genre_Adventure,2006,5,27
Genre_Adventure,2006,6,36
Genre_Adventure,2006,7,30
Genre_Adventure,2006,8,29
Genre_Adventure,2006,9,35
Genre_Adventure,2006,10,28
Genre_Adventure,2006,11,17
Genre_Adventure,2006,12,18
Genre_Adventure,2007,1,16
Genre_Adventure,2007,2,16
Genre_Adventure,2007,3,19
Genre_Adventure,2007,4,14
Genre_Adventure,2007,5,24
Genre_Adventure,2007,6,37
Genre_Adventure,2007,7,29
Genre_Adventure,2007,8,38
Genre_Adventure,2007,9,30
Genre_Adventure,2007,10,28
Genre_Adventure,2007,11,22
Genre_Adventure,2007,12,19
Genre_Adventure,2008,1,20
Genre_Adventure,2008,2,20
Genre_Adventure,2008,3,17
Genre_Adventure,2008,4,21
Genre_Adventure,2008,5,32
Genre_Adventure,2008,6,28
Genre_Adventure,2008,7,25
Genre_Adventure,2008,8,30
Genre_Adventure,2008,9,20
Genre_Adventure,2008,10,13
Genre_Adventure,2008,11,9
Genre_Adventure,2008,12,12
Genre_Adventure,2009,1,14
Genre_Adventure,2009,2,11
Genre_Adventure,2009,3,17
Genre_Adventure,2009,4,21
Genre_Adventure,2009,5,33
Genre_Adventure,2009,6,29
Genre_Adventure,2009,7,40
Genre_Adventure,2009,8,36
Genre_Adventure,2009,9,37
Genre_Adventure,2009,10,46
Genre_Adventure,2009,11,38
Genre_Adventure,2009,12,36
Genre_Adventure,2010,1,46
Genre_Adventure,2010,2,44
Genre_Adventure,2010,3,47
Genre_Adventure,2010,4,62
Genre_Adventure,2010,5,60
Genre_Adventure,2010,6,62
Genre_Adventure,2010,7,75
Genre_Adventure,2010,8,47
Genre_Adventure,2010,9,45
Genre_Adventure,2010,10,46
Genre_Adventure,2010,11,32
Genre_Adventure,2010,12,37
Genre_Adventure,2011,1,28
Genre_Adventure,2011,2,33
Genre_Adventure,2011,3,40
Genre_Adventure,2011,4,52
Genre_Adventure,2011,5,43
Genre_Adventure,2011,6,37
Genre_Adventure,2011,7,50
Genre_Adventure,2011,8,40
Genre_Adventure,2011,9,45
Genre_Adventure,2011,10,30
Genre_Adventure,2011,11,28
Genre_Adventure,2011,12,26
Genre_Adventure,2012,1,20
Genre_Adventure,2012,2,27
Genre_Adventure,2012,3,33
Genre_Adventure,2012,4,34
Genre_Adventure,2012,5,40
Genre_Adventure,2012,6,53
Genre_Adventure,2012,7,40
Genre_Adventure,2012,8,45
Genre_Adventure,2012,9,34
Genre_Adventure,2012,10,35
Genre_Adventure,2012,11,34
Genre_Adventure,2012,12,24
Genre_Adventure,2013,1,29
Genre_Adventure,2013,2,37
Genre_Adventure,2013,3,49
Genre_Adventure,2013,4,52
Genre_Adventure,2013,5,78
Genre_Adventure,2013,6,68
Genre_Adventure,2013,7,54
Genre_Adventure,2013,8,56
Genre_Adventure,2013,9,38
Genre_Adventure,2013,10,36
Genre_Adventure,2013,11,40
Genre_Adventure,2013,12,35
Genre_Adventure,2014,1,53
Genre_Adventure,2014,2,48
Genre_Adventure,2014,3,55
Genre_Adventure,2014,4,59
Genre_Adventure,2014,5,76
Genre_Adventure,2014,6,71
Genre_Adventure,2014,7,64
Genre_Adventure,2014,8,70
Genre_Adventure,2014,9,50
Genre_Adventure,2014,10,67
Genre_Adventure,2014,11,55
Genre_Adventure,2014,12,44
Genre_Adventure,2015,1,58
Genre_Adventure,2015,2,52
Genre_Adventure,2015,3,47
Genre_Adventure,2015,4,50
Genre_Adventure,2015,5,73
Genre_Adventure,2015,6,69
Genre_Adventure,2015,7,90
Genre_Adventure,2015,8,85
Genre_Adventure,2015,9,83
Genre_Adventure,2015,10,80
Genre_Adventure,2015,11,55
Genre_Adventure,2015,12,66
Genre_Adventure,2016,1,85
Genre_Adventure,2016,2,80
Genre_Adventure,2016,3,78
Genre_Adventure,2016,4,102
Genre_Adventure,2016,5,108
Genre_Adventure,2016,6,106
Genre_Adventure,2016,7,144
Genre_Adventure,2016,8,114
Genre_Adventure,2016,9,135
Genre_Adventure,2016,10,86
Genre_Adventure,2016,11,69
Genre_Adventure,2016,12,73
Genre_Adventure,2017,1,40
Genre_Adventure,2017,2,32
Genre_Adventure,2017,3,26
Genre_Adventure,2017,4,9
Genre_Adventure,2017,5,0
Genre_Adventure,2017,6,0
Genre_Adventure,2017,7,0
Genre_Adventure,2017,8,0
Genre_Adventure,2017,9,0
Genre_Adventure,2017,10,0
Genre_Adventure,2017,11,0
Genre_Adventure,2017,12,0
Genre_Animation,2005,1,0
Genre_Animation,2005,2,0
Genre_Animation,2005,3,0
Genre_Animation,2005,4,0
Genre_Animation,2005,5,0
Genre_Animation,2005,6,0
Genre_Animation,2005,7,0
Genre_Animation,2005,8,0
Genre_Animation,2005,9,0
Genre_Animation,2005,10,0
Genre_Animation,2005,11,0
Genre_Animation,2005,12,0
Genre_Animation,2006,1,0
Genre_Animation,2006,2,0
Genre_Animation,2006,3,0
Genre_Animation,2006,4,3
Genre_Animation,2006,5,4
Genre_Animation,2006,6,5
Genre_Animation,2006,7,4
Genre_Animation,2006,8,4
Genre_Animation,2006,9,7
Genre_Animation,2006,10,6
Genre_Animation,2006,11,4
Genre_Animation,2006,12,5
Genre_Animation,2007,1,4
Genre_Animation,2007,2,4
Genre_Animation,2007,3,5
Genre_Animation,2007,4,4
Genre_Animation,2007,5,5
Genre_Animation,2007,6,5
Genre_Animation,2007,7,4
Genre_Animation,2007,8,5
Genre_Animation,2007,9,8
Genre_Animation,2007,10,12
Genre_Animation,2007,11,15
Genre_Animation,2007,12,9
Genre_Animation,2008,1,8
Genre_Animation,2008,2,5
Genre_Animation,2008,3,1
Genre_Animation,2008,4,3
Genre_Animation,2008,5,5
Genre_Animation,2008,6,4
Genre_Animation,2008,7,4
Genre_Animation,2008,8,5
Genre_Animation,2008,9,4
Genre_Animation,2008,10,1
Genre_Animation,2008,11,0
Genre_Animation,2008,12,3
Genre_Animation,2009,1,5
Genre_Animation,2009,2,4
Genre_Animation,2009,3,4
Genre_Animation,2009,4,8
Genre_Animation,2009,5,10
Genre_Animation,2009,6,8
Genre_Animation,2009,7,5
Genre_Animation,2009,8,4
Genre_Animation,2009,9,7
Genre_Animation,2009,10,15
Genre_Animation,2009,11,8
Genre_Animation,2009,12,8
Genre_Animation,2010,1,11
Genre_Animation,2010,2,12
Genre_Animation,2010,3,12
Genre_Animation,2010,4,8
Genre_Animation,2010,5,11
Genre_Animation,2010,6,12
Genre_Animation,2010,7,13
Genre_Animation,2010,8,8
Genre_Animation,2010,9,12
Genre_Animation,2010,10,20
Genre_Animation,2010,11,16
Genre_Animation,2010,12,15
Genre_Animation,2011,1,10
Genre_Animation,2011,2,9
Genre_Animation,2011,3,8
Genre_Animation,2011,4,11
Genre_Animation,2011,5,12
Genre_Animation,2011,6,8
Genre_Animation,2011,7,10
Genre_Animation,2011,8,8
Genre_Animation,2011,9,4
Genre_Animation,2011,10,4
Genre_Animation,2011,11,4
Genre_Animation,2011,12,2
Genre_Animation,2012,1,0
Genre_Animation,2012,2,0
Genre_Animation,2012,3,0
Genre_Animation,2012,4,1
Genre_Animation,2012,5,4
Genre_Animation,2012,6,5
Genre_Animation,2012,7,4
Genre_Animation,2012,8,5
Genre_Animation,2012,9,6
Genre_Animation,2012,10,8
Genre_Animation,2012,11,10
Genre_Animation,2012,12,8
Genre_Animation,2013,1,6
Genre_Animation,2013,2,4
Genre_Animation,2013,3,5
Genre_Animation,2013,4,5
Genre_Animation,2013,5,10
Genre_Animation,2013,6,8
Genre_Animation,2013,7,8
Genre_Animation,2013,8,10
Genre_Animation,2013,9,9
Genre_Animation,2013,10,12
Genre_Animation,2013,11,15
Genre_Animation,2013,12,13
Genre_Animation,2014,1,12
Genre_Animation,2014,2,8
Genre_Animation,2014,3,8
Genre_Animation,2014,4,10
Genre_Animation,2014,5,15
Genre_Animation,2014,6,12
Genre_Animation,2014,7,10
Genre_Animation,2014,8,12
Genre_Animation,2014,9,11
Genre_Animation,2014,10,15
Genre_Animation,2014,11,12
Genre_Animation,2014,12,9
Genre_Animation,2015,1,11
Genre_Animation,2015,2,11
Genre_Animation,2015,3,8
Genre_Animation,2015,4,9
Genre_Animation,2015,5,17
Genre_Animation,2015,6,12
Genre_Animation,2015,7,16
Genre_Animation,2015,8,16
Genre_Animation,2015,9,13
Genre_Animation,2015,10,15
Genre_Animation,2015,11,12
Genre_Animation,2015,12,13
Genre_Animation,2016,1,22
Genre_Animation,2016,2,20
Genre_Animation,2016,3,15
Genre_Animation,2016,4,18
Genre_Animation,2016,5,20
Genre_Animation,2016,6,27
Genre_Animation,2016,7,39
Genre_Animation,2016,8,28
Genre_Animation,2016,9,38
Genre_Animation,2016,10,34
Genre_Animation,2016,11,28
Genre_Animation,2016,12,26
Genre_Animation,2017,1,13
Genre_Animation,2017,2,12
Genre_Animation,2017,3,14
Genre_Animation,2017,4,7
Genre_Animation,2017,5,0
Genre_Animation,2017,6,0
Genre_Animation,2017,7,0
Genre_Animation,2017,8,0
Genre_Animation,2017,9,0
Genre_Animation,2017,10,0
Genre_Animation,2017,11,0
Genre_Animation,2017,12,0
Genre_Biography,2005,1,0
Genre_Biography,2005,2,0
Genre_Biography,2005,3,0
Genre_Biography,2005,4,0
Genre_Biography,2005,5,0
Genre_Biography,2005,6,0
Genre_Biography,2005,7,0
Genre_Biography,2005,8,0
Genre_Biography,2005,9,0
Genre_Biography,2005,10,0
Genre_Biography,2005,11,0
Genre_Biography,2005,12,0
Genre_Biography,2006,1,0
Genre_Biography,2006,2,0
Genre_Biography,2006,3,0
Genre_Biography,2006,4,0
Genre_Biography,2006,5,4
Genre_Biography,2006,6,5
Genre_Biography,2006,7,4
Genre_Biography,2006,8,6
Genre_Biography,2006,9,9
Genre_Biography,2006,10,10
Genre_Biography,2006,11,11
Genre_Biography,2006,12,11
Genre_Biography,2007,1,8
Genre_Biography,2007,2,8
Genre_Biography,2007,3,2
Genre_Biography,2007,4,0
Genre_Biography,2007,5,0
Genre_Biography,2007,6,0
Genre_Biography,2007,7,2
Genre_Biography,2007,8,10
Genre_Biography,2007,9,12
Genre_Biography,2007,10,12
Genre_Biography,2007,11,15
Genre_Biography,2007,12,12
Genre_Biography,2008,1,16
Genre_Biography,2008,2,10
Genre_Biography,2008,3,7
Genre_Biography,2008,4,3
Genre_Biography,2008,5,0
Genre_Biography,2008,6,0
Genre_Biography,2008,7,0
Genre_Biography,2008,8,4
Genre_Biography,2008,9,8
Genre_Biography,2008,10,14
Genre_Biography,2008,11,14
Genre_Biography,2008,12,14
Genre_Biography,2009,1,8
Genre_Biography,2009,2,6
Genre_Biography,2009,3,6
Genre_Biography,2009,4,2
Genre_Biography,2009,5,7
Genre_Biography,2009,6,5
Genre_Biography,2009,7,5
Genre_Biography,2009,8,4
Genre_Biography,2009,9,1
Genre_Biography,2009,10,5
Genre_Biography,2009,11,4
Genre_Biography,2009,12,4
Genre_Biography,2010,1,5
Genre_Biography,2010,2,4
Genre_Biography,2010,3,4
Genre_Biography,2010,4,5
Genre_Biography,2010,5,4
Genre_Biography,2010,6,0
Genre_Biography,2010,7,0
Genre_Biography,2010,8,4
Genre_Biography,2010,9,7
Genre_Biography,2010,10,18
Genre_Biography,2010,11,16
Genre_Biography,2010,12,20
Genre_Biography,2011,1,16
Genre_Biography,2011,2,16
Genre_Biography,2011,3,13
Genre_Biography,2011,4,6
Genre_Biography,2011,5,4
Genre_Biography,2011,6,5
Genre_Biography,2011,7,5
Genre_Biography,2011,8,9
Genre_Biography,2011,9,9
Genre_Biography,2011,10,8
Genre_Biography,2011,11,9
Genre_Biography,2011,12,9
Genre_Biography,2012,1,6
Genre_Biography,2012,2,0
Genre_Biography,2012,3,0
Genre_Biography,2012,4,0
Genre_Biography,2012,5,0
Genre_Biography,2012,6,0
Genre_Biography,2012,7,0
Genre_Biography,2012,8,3
Genre_Biography,2012,9,7
Genre_Biography,2012,10,8
Genre_Biography,2012,11,10
Genre_Biography,2012,12,8
Genre_Biography,2013,1,8
Genre_Biography,2013,2,10
Genre_Biography,2013,3,15
Genre_Biography,2013,4,9
Genre_Biography,2013,5,5
Genre_Biography,2013,6,6
Genre_Biography,2013,7,8
Genre_Biography,2013,8,15
Genre_Biography,2013,9,20
Genre_Biography,2013,10,24
Genre_Biography,2013,11,38
Genre_Biography,2013,12,28
Genre_Biography,2014,1,35
Genre_Biography,2014,2,24
Genre_Biography,2014,3,20
Genre_Biography,2014,4,11
Genre_Biography,2014,5,1
Genre_Biography,2014,6,0
Genre_Biography,2014,7,0
Genre_Biography,2014,8,0
Genre_Biography,2014,9,3
Genre_Biography,2014,10,21
Genre_Biography,2014,11,24
Genre_Biography,2014,12,24
Genre_Biography,2015,1,31
Genre_Biography,2015,2,28
Genre_Biography,2015,3,29
Genre_Biography,2015,4,25
Genre_Biography,2015,5,19
Genre_Biography,2015,6,17
Genre_Biography,2015,7,22
Genre_Biography,2015,8,20
Genre_Biography,2015,9,20
Genre_Biography,2015,10,35
Genre_Biography,2015,11,30
Genre_Biography,2015,12,29
Genre_Biography,2016,1,41
Genre_Biography,2016,2,37
Genre_Biography,2016,3,44
Genre_Biography,2016,4,38
Genre_Biography,2016,5,33
Genre_Biography,2016,6,32
Genre_Biography,2016,7,45
Genre_Biography,2016,8,38
Genre_Biography,2016,9,53
Genre_Biography,2016,10,46
Genre_Biography,2016,11,46
Genre_Biography,2016,12,49
Genre_Biography,2017,1,29
Genre_Biography,2017,2,17
Genre_Biography,2017,3,16
Genre_Biography,2017,4,10
Genre_Biography,2017,5,5
Genre_Biography,2017,6,5
Genre_Biography,2017,7,4
Genre_Biography,2017,8,4
Genre_Biography,2017,9,4
Genre_Biography,2017,10,1
Genre_Biography,2017,11,0
Genre_Biography,2017,12,0
Genre_Comedy,2005,1,0
Genre_Comedy,2005,2,0
Genre_Comedy,2005,3,0
Genre_Comedy,2005,4,0
Genre_Comedy,2005,5,0
Genre_Comedy,2005,6,0
Genre_Comedy,2005,7,0
Genre_Comedy,2005,8,0
Genre_Comedy,2005,9,0
Genre_Comedy,2005,10,0
Genre_Comedy,2005,11,0
Genre_Comedy,2005,12,0
Genre_Comedy,2006,1,2
Genre_Comedy,2006,2,8
Genre_Comedy,2006,3,10
Genre_Comedy,2006,4,14
Genre_Comedy,2006,5,17
Genre_Comedy,2006,6,24
Genre_Comedy,2006,7,24
Genre_Comedy,2006,8,24
Genre_Comedy,2006,9,31
Genre_Comedy,2006,10,20
Genre_Comedy,2006,11,16
Genre_Comedy,2006,12,17
Genre_Comedy,2007,1,11
Genre_Comedy,2007,2,9
Genre_Comedy,2007,3,14
Genre_Comedy,2007,4,12
Genre_Comedy,2007,5,14
Genre_Comedy,2007,6,22
Genre_Comedy,2007,7,19
Genre_Comedy,2007,8,24
Genre_Comedy,2007,9,21
Genre_Comedy,2007,10,22
Genre_Comedy,2007,11,20
Genre_Comedy,2007,12,15
Genre_Comedy,2008,1,16
Genre_Comedy,2008,2,22
Genre_Comedy,2008,3,17
Genre_Comedy,2008,4,23
Genre_Comedy,2008,5,32
Genre_Comedy,2008,6,33
Genre_Comedy,2008,7,33
Genre_Comedy,2008,8,40
Genre_Comedy,2008,9,30
Genre_Comedy,2008,10,20
Genre_Comedy,2008,11,8
Genre_Comedy,2008,12,11
Genre_Comedy,2009,1,14
Genre_Comedy,2009,2,10
Genre_Comedy,2009,3,12
Genre_Comedy,2009,4,20
Genre_Comedy,2009,5,30
Genre_Comedy,2009,6,26
Genre_Comedy,2009,7,32
Genre_Comedy,2009,8,31
Genre_Comedy,2009,9,35
Genre_Comedy,2009,10,48
Genre_Comedy,2009,11,30
Genre_Comedy,2009,12,20
Genre_Comedy,2010,1,25
Genre_Comedy,2010,2,26
Genre_Comedy,2010,3,26
Genre_Comedy,2010,4,32
Genre_Comedy,2010,5,32
Genre_Comedy,2010,6,34
Genre_Comedy,2010,7,47
Genre_Comedy,2010,8,41
Genre_Comedy,2010,9,43
Genre_Comedy,2010,10,55
Genre_Comedy,2010,11,37
Genre_Comedy,2010,12,41
Genre_Comedy,2011,1,36
Genre_Comedy,2011,2,34
Genre_Comedy,2011,3,36
Genre_Comedy,2011,4,49
Genre_Comedy,2011,5,38
Genre_Comedy,2011,6,33
Genre_Comedy,2011,7,38
Genre_Comedy,2011,8,44
Genre_Comedy,2011,9,45
Genre_Comedy,2011,10,32
Genre_Comedy,2011,11,28
Genre_Comedy,2011,12,28
Genre_Comedy,2012,1,21
Genre_Comedy,2012,2,23
Genre_Comedy,2012,3,37
Genre_Comedy,2012,4,38
Genre_Comedy,2012,5,50
Genre_Comedy,2012,6,55
Genre_Comedy,2012,7,39
Genre_Comedy,2012,8,44
Genre_Comedy,2012,9,39
Genre_Comedy,2012,10,39
Genre_Comedy,2012,11,38
Genre_Comedy,2012,12,32
Genre_Comedy,2013,1,26
Genre_Comedy,2013,2,22
Genre_Comedy,2013,3,22
Genre_Comedy,2013,4,32
Genre_Comedy,2013,5,54
Genre_Comedy,2013,6,54
Genre_Comedy,2013,7,60
Genre_Comedy,2013,8,73
Genre_Comedy,2013,9,51
Genre_Comedy,2013,10,48
Genre_Comedy,2013,11,67
Genre_Comedy,2013,12,49
Genre_Comedy,2014,1,53
Genre_Comedy,2014,2,38
Genre_Comedy,2014,3,49
Genre_Comedy,2014,4,47
Genre_Comedy,2014,5,54
Genre_Comedy,2014,6,50
Genre_Comedy,2014,7,51
Genre_Comedy,2014,8,57
Genre_Comedy,2014,9,39
Genre_Comedy,2014,10,52
Genre_Comedy,2014,11,46
Genre_Comedy,2014,12,38
Genre_Comedy,2015,1,55
Genre_Comedy,2015,2,49
Genre_Comedy,2015,3,44
Genre_Comedy,2015,4,53
Genre_Comedy,2015,5,72
Genre_Comedy,2015,6,66
Genre_Comedy,2015,7,90
Genre_Comedy,2015,8,78
Genre_Comedy,2015,9,76
Genre_Comedy,2015,10,74
Genre_Comedy,2015,11,53
Genre_Comedy,2015,12,58
